Phone Brand,Phone specification,Old Price,New Price,Rating
Itel,"A16 Plus 5.0"" Screen Android 8.1, 1GB ROM + 8GB ROM, 5MP + 2MP, 2050mAh Dual SIM 3G - Gold With Free Case",24000,21790,4.3
Tecno,"Spark 7p (KF7j) 6.8"" HD+, 64GB ROM + 4GB RAM, 16MP Triple Camera, 5000mAh, Android 11, Helio G70, 4G, Fingerprint - Blue",75000,63490,5.0
Generic,Phone Tripod Stand Kit With Remote Control Lightweight Portable,15000,5899,5.0
Tecno,"POP 2F ( B1G) 5.5"" 16GB ROM,1GB RAM, 8MP Front+5MP Back, Battery 2400mAh, Fingerprint, Face Unlock - Midnight Black",31000,28400,4.1
MAXFONE,MAX 5X 3200mAh Camera With Flash Water Drop Screen Dual Sim Fingerprint Android Phone - Blue,,29300,4.0
Samsung,"Galaxy A12(D/S)- 6.5"" 48MP Camera, 4/128GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLUE",190900,94400,4.0
Itel,"A37 5.7"" HD+ Waterdrop Screen, 1GB RAM + 16GB ROM, Android 10, 3020mAh Battery, 5MP Camera, Face ID - Blue + Free Case",30000,28290,4.7
Tecno,"POP 5 (BD2) 6.1"" HD+ Display, 1GB RAM + 16GB ROM, 4000mAh, Android 10, 5MP + 5MP Camera, Fingerprint & Face ID - Black",40000,35990,2.0
Tecno,"Spark 7p (KF7J) (64GB, 4GB RAM) 6.8-Inch HD, Android Q (Go Edition) 16MP Rear+8MP Selfie Camera, 5000mAh - Black",70000,63500,4.8
Gionee,S10 Lite 5.2 Inch 4GB RAM 32GB ROM 16MP+13MP Android 7.1 Hybrid Dual SIM 4G LTE Smartphone 3100mA-Black,38900,29390,4.3
UMIDIGI,"BISON IP68/IP69K (6GB,128GB) 6.3-Inch Gorilla Glass (48MP+16MP+5MP+5MP)+24MP NFC Android 10 Rugged Smartphone-Yellow",131500,81900,4.4
Infinix,"HOT 10 Play - 6.82"" HD+ (2GB RAM, 32GB ROM) 13MP/Portrait Ai Dual Camera + 8MP Selfie - 6000MAH - 4G LTE - OBSIDIAN BLACK",75500,56100,4.4
Tecno,"POP4 Air (BC1) 6.52"" Screen, 1GB RAM + 16GB ROM, 5000mAh Battery, Android 10, 5MP + 5MP Camera, Fingerprint - Grey",40000,37490,4.0
Cubot,"Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Green",49099,28500,3.8
Cubot,"Note 7, 5.5 Inches,4G LTE,2GB + 16GB,3100mAh  (Dual SIM),Triple Camera -Red",49099,28500,4.1
UMIDIGI,"A9 Pro 2021(8GB,128GB ROM) Infrared Temperature Sensor Android 11 (48MP+16MP+5MP+5MP)+24MP 6.3"" Smartphone-Onyx Black",138170,85900,4.6
Apple,"IPhone 5 - IOS 16GB 4.0"" 4G Smartphone Fullset Box 95% New",45999,20400,4.0
Tecno,"SPARK GO 2020(KE5)-6.52"" HD+ DOT NOTCH SCREEN-32GB ROM/2GB RAM-8MP/13MP CAMERA-5000MAH-4G LTE-FINGERPRINT-AQUA BLUE",48000,46500,5.0
Tecno,"Spark Go (KE5) 6.52"" HD+, 2GB RAM + 32GB ROM, 13MP Dual Camera, Android 10, 4G, 5000mAh, Fingerprint & Face ID - Jadeite",52000,46690,4.6
Generic,Phone Tripod Stand Kit With Holder Control Lightweight Portable And Free Gift,15100,6299,3.0
Itel,"P37 6.5"" HD+ Screen, 2GB RAM + 32GB ROM, 5000mAh Battery, Android 10, 8MP Dual Rear Camera, Fingerprint & Face ID - Blue",50000,40990,4.5
Tecno,"Spark 7 (PR651H) 6.5"" HD+, 32GB ROM + 2GB RAM, 5000mAh, 16MP + 8MP CAMERA, Android 11, 4G, Fingerprint -MAGNET Black",54000,51500,
Samsung,"Galaxy M31 (SM-M315F/DSN) Dual SIM (128GB + 6GB RAM)- 6.4""- (64MP+8MP+5MP+5MP) + 32MP Camera- 6000mAh-Ocean Blue",140000,117700,4.5
Infinix,"NOTE 8(X692)-6.95"" HD+ DUAL HOLE DISPLAY-128GB ROM/6GB RAM-16MP/64MP CAMERA-5200MAH-4G LTE-G80 PROCESSOR-ICELAND FANTASY",101000,100000,5.0
Samsung,"Galaxy A21s, 6.5-Inch (4GB RAM, 64GB ROM) Android 10, (48MP + 8MP + 2MP + 2MP) + 13MP Dual SIM - Black",95000,94900,4.4
Alcatel,"3x - Jewelry Green, 6.52 Inches, 4GB RAM 64GB ROM 16MP + 5MP + 2MP REAR CAMERA, 8MP FRONT CAMERA, 5000mAH",130000,56070,4.5
Itel,"A14plus - 4.0""screen (16GB ROM + 512MB RAM) Android 10(Go Edition) 2500mAh Battery - Deep Blue",28500,19299,3.7
Tecno,"POP5 (BD2) 6.1 Inch Big"" Screen, 16GB ROM + 1GB RAM, Android Q, 5MP + 5MP Camera, 4000mAh, Fingerprint & Face ID - BLUE",40700,34300,1.0
Nokia,"1.4 6.51"" HD+ Screen, 2GB RAM + 32GB ROM, 8MP+2MP Rear + 5MP Selfie, 4000mAh, 4G LTE, Android 10, Dual SIM - Charcoal",60000,47990,3.0
Tecno,"Camon 16 (CE7J) 6.8"" FHD, 4GB RAM + 128GB ROM, 48MP Quad Rear +16MP Selfie Camera, Android 10, 5000mAh, 4G LTE - Blue",90000,79990,4.6
Infinix,"Hot 10 (X682B) 6.78-Inch (64GB ROM, 3GB RAM) 16MP+2MP+2MP+8MP Camera, 5200mAh Battery - Ocean Wave",80000,63800,4.5
Samsung,"Galaxy S8 5.8-Inch QHD (4GB,64GB ROM) 12MP + 8MP 4G LTE Smartphone ( 2 Sim ) DUAL Sim -  Blue",110000,100000,5.0
Infinix,Smart 5 (X657)- 32gb ROM/ 2gb RAM- 6.6'' HD+ Waterdrop- 5000mah-8MP/8MP-ANDROID TM 10(Go Edition) -MIDNIGHT BLACK,44590,32990,4.6
UMIDIGI,"A9 Android 11 Infrared Temperature Sensor (13MP+8MP+2MP)+8MP 6.53-Inch (3GB,64GB ROM)5150mAh Global Version-PeacockGreen",89840,56900,4.7
UMIDIGI,"A11 (4GB,128GB ROM) Android 11 Infrared Temperature Sensor 2.0 (16MP+8MP+5MP)+8MP 5150mAh 6.53"" Global Version-Mist Blue",111500,68900,5.0
Gionee,S10 LITE 4GB RAM 32GB ROM Qualcomm Snapdragon 427 5.2”HD Android 7.1 4G LTE Smartphone,49800,29517,3.0
Samsung,"Galaxy S8 5.8-Inch ( 2 Sim )QHD (4GB,64GB ROM) 12MP + 8MP 4G LTE Smartphone DUAL Sim - Midnight Black",110000,100000,3.8
Apple,"Iphone 7 128gb Black And Free Pouch, Screen Protector ",,125000,
Gionee,"P12 6.1"" HD+ (2GB/16GB ROM) Android 10 (13MP Rear Camera [Triple],5MP Front) Dual SIM-4G LTE- 3200mAh-Twilight",42500,38900,
Samsung,"Galaxy A21s, 6.5-Inch (4GB RAM, 64GB ROM) Android 10, (48MP + 8MP + 2MP + 2MP) + 13MP Dual SIM -White",95000,94900,4.3
Samsung,"Galaxy A32-6.4"", (6GB RAM+128GB ROM) Camera -(64+8+5+5MP)+20MP Selfie, Dual SIM, 5000mAh Battery, 4G LTE- Awesome VIOLET",130000,125900,4.9
Tecno,"POP 5 (BD2) 6.1"" HD+ Display, 1GB RAM + 16GB ROM, 4000mAh, Android 10, 5MP + 5MP Camera, Fingerprint & Face ID - Blue",40000,35990,5.0
Tecno,"Spark 7 P (KF7j) 6.8"" HD+, 64GB ROM +4GB RAM, 16MP Triple Camera, 5000mAh,  Helio G70, 4G, Fingerprint -ALPS Blue",70000,63400,5.0
Samsung,"Galaxy M31s- 6.5 Inch-Dual Sim-6GB RAM, 128GB ROM,Android 10. (64MP + 12MP + 5MP + 5MP) + 32MP Dual SIM - Black",139800,132900,4.8
Samsung,"Galaxy A12(A125F/DS)- 6.5"" 48MP Camera, 4/64GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLACK",85000,73900,4.7
MAXFONE,MAX 5X 3200mAh Camera With Flash Water Drop Screen Dual Sim Fingerprint Android Phone - Blue,30000,29000,3.8
UMIDIGI,"A9 Pro 2021(8GB,128GB ROM) Infrared Temperature Sensor Android 11 (48MP+16MP+5MP+5MP)+24MP 6.3"" Smartphone-Forest Green",138170,85900,3.8
Apple,"IPhone 5 - IOS 16GB 4.0"" 4G Smartphone - White/Black(Refurbished )",45999,20400,3.4
Itel,"P37 6.5"" HD+ Screen, 2GB RAM + 32GB ROM, 5000mAh - Android 10, 8MP Dual Rear Camera, Fingerprint & Face ID -DEEP BLUE",43000,41000,
Infinix,"Hot 10 Play (X688B) 6.82"" HD+, 4GB RAM + 64GB ROM, 6000mAh Battery, Android 10, 13MP Dual Camera, 4G, Fingerprint",75000,67499,3.3
Tecno,"Spark Go 2020, 6.52'' HD+, 32+2GB, 13MP Rear Camera + 8MP Front Camera, 5000mAh, Android 10, 4G - Mystery White",55000,45999,5.0
Samsung,"Galaxy S10 Plus 6.4-Inch AMOLED (8GB,128GB ROM) WHITE + Standard Back Case & Screen Protector",,230000,4.0
Nokia,"3.4 - 64GB ROM + 4GB RAM, 6.39"" HD+ Display, 4000maH Battery, 4G, CHARCOAL/GREY",85000,63000,3.3
Samsung,"Galaxy A12(A125F/DS)- 6.5"" 48MP Camera, 4/128GB Memory, 5000maH Battery, Fingerprint, 4G LTE - BLACK",85000,82200,4.3
